params,sharpe_ratio
"{'bollinger_std_dev': 2.9207098982305126, 'bollinger_window': 23, 'sl_factor': 1.1365665922763175, 'tp_factor': 14}",-0.5713741515154578
"{'bollinger_std_dev': 3.3077164110936335, 'bollinger_window': 38, 'sl_factor': 0.7790505052292479, 'tp_factor': 13}",-0.5988025577779279
"{'bollinger_std_dev': 3.1995422449465742, 'bollinger_window': 45, 'sl_factor': 0.9669654421030323, 'tp_factor': 25}",-0.6051344173484251
"{'bollinger_std_dev': 3.1990545389948117, 'bollinger_window': 31, 'sl_factor': 0.9336749193770755, 'tp_factor': 10}",-0.652308111987984
"{'bollinger_std_dev': 3.1841776316525596, 'bollinger_window': 41, 'sl_factor': 0.7481242593955822, 'tp_factor': 12}",-0.6560952429611111
"{'bollinger_std_dev': 3.1057008097106955, 'bollinger_window': 27, 'sl_factor': 1.18219191355519, 'tp_factor': 19}",-0.6872257702444947
"{'bollinger_std_dev': 3.183701524785242, 'bollinger_window': 47, 'sl_factor': 1.0202552542984933, 'tp_factor': 14}",-0.7025946237901153
"{'bollinger_std_dev': 3.1162566216634158, 'bollinger_window': 41, 'sl_factor': 0.9214256940937776, 'tp_factor': 13}",-0.7691973233953022
"{'bollinger_std_dev': 3.0890361915010507, 'bollinger_window': 44, 'sl_factor': 0.7609996079784876, 'tp_factor': 18}",-0.7945554247938221
"{'bollinger_std_dev': 3.0334999495026995, 'bollinger_window': 31, 'sl_factor': 1.0370557511360066, 'tp_factor': 9}",-0.8185442417852011
"{'bollinger_std_dev': 3.0171273152160767, 'bollinger_window': 32, 'sl_factor': 0.9211870610529143, 'tp_factor': 25}",-0.8992811244639056
"{'bollinger_std_dev': 2.8702992861220507, 'bollinger_window': 21, 'sl_factor': 0.8531826228681216, 'tp_factor': 24}",-0.999739422418356
"{'bollinger_std_dev': 1.763607783170422, 'bollinger_window': 11, 'sl_factor': 0.7483539926843615, 'tp_factor': 11}",-inf
"{'bollinger_std_dev': 2.6396923905490723, 'bollinger_window': 28, 'sl_factor': 1.0169742157625454, 'tp_factor': 6}",-inf
"{'bollinger_std_dev': 2.772500669158095, 'bollinger_window': 33, 'sl_factor': 0.8052002731104259, 'tp_factor': 13}",-inf
"{'bollinger_std_dev': 2.753221028025124, 'bollinger_window': 19, 'sl_factor': 1.0787721116102729, 'tp_factor': 14}",-inf
"{'bollinger_std_dev': 2.789410610941914, 'bollinger_window': 28, 'sl_factor': 0.7254416053621454, 'tp_factor': 8}",-inf
"{'bollinger_std_dev': 2.5244366671132035, 'bollinger_window': 21, 'sl_factor': 0.8850515764419391, 'tp_factor': 12}",-inf
"{'bollinger_std_dev': 2.7078402970616793, 'bollinger_window': 17, 'sl_factor': 0.7046922692931821, 'tp_factor': 7}",-inf
"{'bollinger_std_dev': 1.649040158099743, 'bollinger_window': 50, 'sl_factor': 1.1511961353097493, 'tp_factor': 18}",-inf
"{'bollinger_std_dev': 1.527601629423467, 'bollinger_window': 49, 'sl_factor': 0.7817627820478052, 'tp_factor': 11}",-inf
"{'bollinger_std_dev': 2.449669149260436, 'bollinger_window': 25, 'sl_factor': 1.1084796475391951, 'tp_factor': 23}",-inf
"{'bollinger_std_dev': 2.6520819003712117, 'bollinger_window': 21, 'sl_factor': 0.9125961247329184, 'tp_factor': 11}",-inf
"{'bollinger_std_dev': 2.0494039275968436, 'bollinger_window': 10, 'sl_factor': 1.0984848514815746, 'tp_factor': 12}",-inf
"{'bollinger_std_dev': 1.5636761210810015, 'bollinger_window': 45, 'sl_factor': 0.9209027494219009, 'tp_factor': 21}",-inf
"{'bollinger_std_dev': 2.654590568900415, 'bollinger_window': 24, 'sl_factor': 0.9265383493965137, 'tp_factor': 17}",-inf
"{'bollinger_std_dev': 2.2478903983430882, 'bollinger_window': 25, 'sl_factor': 1.1303159400028204, 'tp_factor': 12}",-inf
"{'bollinger_std_dev': 1.5907717981553327, 'bollinger_window': 50, 'sl_factor': 1.0559068695398635, 'tp_factor': 18}",-inf
"{'bollinger_std_dev': 2.5999416814323455, 'bollinger_window': 30, 'sl_factor': 0.867690679558581, 'tp_factor': 7}",-inf
"{'bollinger_std_dev': 1.5097898933808345, 'bollinger_window': 40, 'sl_factor': 0.9476050454472421, 'tp_factor': 24}",-inf
